Reaction_ID,lb,ub
HMR_1988,0,0.286881148
HMR_1996,0,0.111031312
HMR_1308,0,0.070389328
HMR_1313,0,4.440287821
HMR_1325,0,8.131496885
HMR_1326,0,8.131496885
HMR_1346,0,2.592158002
HMR_0705,0,4.315421316
HMR_0706,0,4.315421316
HMR_0708,0,4.315421316
HMR_7606,0,0.163498732
HMR_7607,0,0.250961574
HMR_7202,0,4.898692073
HMR_7203,0,1.695993813
HMR_7217,0,3.50589093
HMR_7218,0,3.455491621
HMR_7492,0,2.381283373
HMR_7534,0,1.859969548
HMR_7538,0,1.859969548
HMR_7553,0,2.381283373
HMR_7502,0,1.981852653
HMR_7506,0,1.981852653
HMR_7514,0,1.981852653
HMR_7517,0,5.293149737
HMR_7518,0,3.294253136
HMR_7558,0,1.981852653
HMR_7564,0,1.981852653
HMR_7226,0,5.373648211
HMR_7227,0,3.40599236
HMR_7228,0,3.638073837
HMR_7229,0,3.228049048
HMR_7230,0,3.294253136
HMR_7231,0,5.373648211
HMR_7232,0,3.40599236
HMR_7233,0,3.638073837
HMR_7234,0,3.228049048
HMR_7237,0,5.373648211
HMR_7238,0,3.40599236
HMR_7239,0,3.638073837
HMR_7240,0,3.228049048
HMR_7241,0,5.293149737
HMR_7242,0,3.294253136
HMR_7244,0,3.40599236
HMR_7245,0,3.638073837
HMR_7246,0,3.228049048
HMR_7247,0,5.293149737
HMR_7248,0,3.294253136
HMR_7250,0,3.228049048
HMR_7573,0,4.931210275
HMR_7376,0,2.066950244
HMR_7377,0,4.559491813
HMR_7381,0,5.373648211
HMR_7385,0,5.373648211
HMR_7389,0,5.373648211
HMR_7393,0,5.373648211
HMR_7397,0,5.373648211
HMR_7401,0,5.373648211
HMR_7405,0,5.373648211
HMR_7409,0,5.373648211
HMR_7413,0,5.373648211
HMR_7417,0,5.373648211
HMR_7421,0,5.373648211
HMR_7458,0,5.373648211
HMR_7463,0,5.373648211
HMR_7469,0,3.694880193
HMR_7487,0,5.373648211
HMR_8645,0,3.600507645
HMR_8648,0,0.014355293
HMR_1581,0,0
HMR_1584,0,3.744161096
HMR_1585,0,3.744161096
HMR_1589,0,0.014355293
HMR_1590,0,0.014355293
HMR_1595,0,0.014355293
HMR_1598,0,0.042644337
HMR_1604,0,5.457134594
HMR_1605,0,5.457134594
HMR_1608,0,5.457134594
HMR_1609,0,5.457134594
HMR_1610,0,5.457134594
HMR_1611,0,5.457134594
HMR_1613,0,5.457134594
HMR_1614,0,5.457134594
HMR_1622,0,4.078951341
HMR_1632,0,2.797012978
HMR_1635,0,2.797012978
HMR_1660,0,4.297925053
HMR_1662,0,4.297925053
HMR_1663,0,4.297925053
HMR_1667,0,0.214124805
HMR_1668,0,0.214124805
HMR_1670,0,0.214124805
HMR_1673,0,0.014355293
HMR_1678,0,0.042644337
HMR_1681,0,5.457134594
HMR_1682,0,5.457134594
HMR_1685,0,5.457134594
HMR_1687,0,5.457134594
HMR_1689,0,5.457134594
HMR_1691,0,5.457134594
HMR_1693,0,5.457134594
HMR_1696,0,4.078951341
HMR_1704,0,0.286881148
HMR_1720,0,0.214124805
HMR_1722,0,0.214124805
HMR_1723,0,0.214124805
HMR_1729,0,0
HMR_1730,0,1.963474124
HMR_1735,0,0.084064265
HMR_1737,0,0.084064265
HMR_1738,0,3.744161096
HMR_1739,0,0.014355293
HMR_1740,0,0.014355293
HMR_1741,0,0.014355293
HMR_1742,0,0.042644337
HMR_1743,0,0.042644337
HMR_1746,0,5.457134594
HMR_1747,0,5.457134594
HMR_1748,0,5.457134594
HMR_1749,0,5.457134594
HMR_1750,0,5.457134594
HMR_1751,0,5.457134594
HMR_1760,0,2.797012978
HMR_1761,0,2.797012978
HMR_1762,0,5.457134594
HMR_1765,0,0
HMR_1766,0,3.744161096
HMR_1767,0,0.014355293
HMR_1768,0,0.014355293
HMR_1769,0,0.014355293
HMR_1770,0,0.042644337
HMR_1771,0,0.042644337
HMR_1776,0,0.432959407
HMR_1777,0,0
HMR_1781,0,0.432959407
HMR_1784,0,0.432959407
HMR_1785,0,0.432959407
HMR_1786,0,0.432959407
HMR_1794,0,5.457134594
HMR_1796,0,5.457134594
HMR_1800,0,5.457134594
HMR_1810,0,0.23878686
HMR_1811,0,5.457134594
HMR_1815,0,0.23878686
HMR_1817,0,0.23878686
HMR_1819,0,0.23878686
HMR_1830,0,0
HMR_1831,0,0
HMR_1838,0,0.23878686
HMR_1839,0,0.014355293
HMR_1840,0,0.014355293
HMR_1846,0,0
HMR_3908,0,0.263034406
HMR_4679,0,3.683696454
HMR_1847,0,1.963474124
HMR_1855,0,0.042644337
HMR_8263,0,0.124328135
HMR_8267,0,0.124328135
HMR_8275,0,6.141391916
HMR_8276,0,2.448900951
HMR_8277,0,0.189033824
HMR_8278,0,3.381283373
HMR_8279,0,0.189033824
HMR_8281,0,0.124328135
HMR_8284,0,0.124328135
HMR_8285,0,0.189033824
HMR_8287,0,0.028569152
HMR_8288,0,0.124328135
HMR_8292,0,0.124328135
HMR_8293,0,0.189033824
HMR_8295,0,0.124328135
HMR_8298,0,0.124328135
HMR_8302,0,0.124328135
HMR_8305,0,3.381283373
HMR_8306,0,0.189033824
HMR_8307,0,0.028569152
HMR_8308,0,0.028569152
HMR_8309,0,0.028569152
HMR_8316,0,4.725741157
HMR_8317,0,0.189033824
HMR_8319,0,2.124328135
HMR_8322,0,0.028569152
HMR_8325,0,3.384049807
HMR_8326,0,0.028569152
HMR_8327,0,0.584962501
HMR_8330,0,0.028569152
HMR_8331,0,0.028569152
HMR_8332,0,0.028569152
HMR_8333,0,0.028569152
HMR_8334,0,0.028569152
HMR_8337,0,3.384049807
HMR_4228,0,0.250961574
HMR_4251,0,7.909533115
HMR_4260,0,4.300123725
HMR_4261,0,4.300123725
HMR_4263,0,2.608809243
HMR_4271,0,4.044394119
HMR_4278,0,4.300123725
HMR_4662,0,6.496494307
HMR_7676,0,8.858322973
HMR_7677,0,3.735522177
HMR_7678,0,3.735522177
HMR_8790,0,2.424922088
HMR_3871,0,5.536674618
HMR_4058,0,5.536674618
HMR_4500,0,3.744161096
HMR_4723,0,5.125568452
HMR_4725,0,2.304511042
HMR_4733,0,2.304511042
HMR_4734,0,5.536674618
