Component,g/L,reaction,lb,ub
-1.0 dehydroepiandrosterone sulfate <-->,0,HMR_9302,0,1000
-1.0 dihydrofolate <-->,0,HMR_9303,0,1000
-1.0 digalactosylceramidesulfate <-->,0,HMR_9304,0,1000
-1.0 deoxyinosine <-->,0,HMR_9305,0,1000
-1.0 edaravone <-->,0,HMR_9306,0,1000
"-1.0 2,6-dimethylheptanoyl-carnitine <-->",0,HMR_9307,0,1000
-1.0 dopamine-3-O-sulfate <-->,0,HMR_9308,0,1000
-1.0 deoxyribose <-->,0,HMR_9309,0,1000
-1.0 deoxyuridine <-->,0,HMR_9310,0,1000
"-1.0 aflatoxin B1-exo-8,9-epoxide <-->",0,HMR_9311,0,1000
-1.0 ebastine <-->,0,HMR_9312,0,1000
-1.0 hydroxylated-ebastine <-->,0,HMR_9313,0,1000
-1.0 estradiol-17beta <-->,0,HMR_9314,0,1000
-1.0 16-glucuronide-estriol <-->,0,HMR_9315,0,1000
-1.0 estrone-glucuronide <-->,0,HMR_9316,0,1000
-1.0 estrone 3-sulfate <-->,0,HMR_9317,0,1000
-1.0 formate <-->,0,HMR_9318,0,1000
-1.0 III3Fuc-nLc6Cer <-->,0,HMR_9319,0,1000
-1.0 glycolipid <-->,0,HMR_9320,0,1000
-1.0 fucacgalfucgalacglcgalgluside heparan sulfate <-->,0,HMR_9321,0,1000
"-1.0 IV3NeuAc,III3Fuc-nLc4Cer <-->",0,HMR_9322,0,1000
"-1.0 IV3Neu5Ac,III4Fuc-Lc4Cer <-->",0,HMR_9323,0,1000
-1.0 fucfuc132galacglcgal14acglcgalgluside heparan sulfate <-->,0,HMR_9324,0,1000
-1.0 fucfucfucgalacglc13galacglcgal14acglcgalgluside heparan sulfate <-->,0,HMR_9325,0,1000
-1.0 fucfucfucgalacglcgal14acglcgalgluside heparan sulfate <-->,0,HMR_9326,0,1000
-1.0 lacto-N-fucopentaosyl-III-ceramide <-->,0,HMR_9327,0,1000
-1.0 fucgalfucgalacglcgalgluside heparan sulfate <-->,0,HMR_9328,0,1000
-1.0 fucosyl-galactosylgloboside <-->,0,HMR_9329,0,1000
-1.0 6-deoxy-L-galactose <-->,0,HMR_9330,0,1000
-1.0 gal-glcnac-gal-globoside <-->,0,HMR_9331,0,1000
-1.0 galfuc12gal14acglcgalgluside heparan sulfate <-->,0,HMR_9332,0,1000
-1.0 galfucgalacglcgal14acglcgalgluside heparan sulfate <-->,0,HMR_9333,0,1000
-1.0 galgalfucfucgalacglcgalacglcgal14acglcgalgluside heparan sulfate <-->,0,HMR_9334,0,1000
-1.0 galgalgalthcrm heparan sulfate <-->,0,HMR_9335,0,1000
-1.0 globoside <-->,0,HMR_9336,0,1000
-1.0 GD1beta <-->,0,HMR_9337,0,1000
-1.0 (5-L-glutamyl)-L-amino acid <-->,0,HMR_9338,0,1000
-1.0 GD1c <-->,0,HMR_9339,0,1000
-1.0 GDP <-->,0,HMR_9340,0,1000
-1.0 betaine <-->,0,HMR_9341,0,1000
-1.0 glycerate <-->,0,HMR_9342,0,1000
-1.0 GMP <-->,0,HMR_9343,0,1000
-1.0 GP1c <-->,0,HMR_9344,0,1000
-1.0 GP1calpha <-->,0,HMR_9345,0,1000
-1.0 GQ1b <-->,0,HMR_9346,0,1000
-1.0 GQ1balpha <-->,0,HMR_9347,0,1000
-1.0 guanosine <-->,0,HMR_9348,0,1000
-1.0 GT1a <-->,0,HMR_9349,0,1000
-1.0 GSSG <-->,0,HMR_9350,0,1000
-1.0 GSH <-->,0,HMR_9351,0,1000
-1.0 GTP <-->,0,HMR_9352,0,1000
-1.0 guanine <-->,0,HMR_9353,0,1000
-1.0 H2O2 <-->,0,HMR_9354,0,1000
-1.0 4-hydroxy-17beta-estradiol <-->,0,HMR_9355,0,1000
-1.0 umbelliferone <-->,0,HMR_9356,0,1000
-1.0 6-hydroxypaclitaxel <-->,0,HMR_9357,0,1000
-1.0 hypoxanthine <-->,0.00239,HMR_9358,-0.00239,1000
-1.0 IDP <-->,0,HMR_9359,0,1000
-1.0 IMP <-->,0,HMR_9360,0,1000
-1.0 inositol <-->,0.0126,HMR_9361,-0.0126,1000
-1.0 inosine <-->,0,HMR_9362,0,1000
-1.0 cystine <-->,0,HMR_9363,0,1000
-1.0 leukotriene A4 <-->,0,HMR_9364,0,1000
-1.0 leukotriene B4 <-->,0,HMR_9365,0,1000
-1.0 leukotriene C4 <-->,0,HMR_9366,0,1000
-1.0 LTD4 <-->,0,HMR_9367,0,1000
-1.0 leukotriene E4 <-->,0,HMR_9368,0,1000
-1.0 limonene <-->,0,HMR_9369,0,1000
-1.0 maltose <-->,0,HMR_9370,0,1000
-1.0 maltotriose <-->,0,HMR_9371,0,1000
-1.0 methanol <-->,0,HMR_9372,0,1000
-1.0 L-metanephrine <-->,0,HMR_9373,0,1000
-1.0 3-mercaptolactate-cysteine-disulfide <-->,0,HMR_9374,0,1000
-1.0 methylglyoxal <-->,0,HMR_9375,0,1000
-1.0 NAD+ <-->,0,HMR_9376,0,1000
-1.0 NADP+ <-->,0,HMR_9377,0,1000
-1.0 nicotinamide <-->,0.00202,HMR_9378,-0.00202,1000
-1.0 nifedipine <-->,0,HMR_9379,0,1000
-1.0 hydroxy-nifedipine <-->,0,HMR_9380,0,1000
-1.0 NO <-->,0,HMR_9381,0,1000
-1.0 norepinephrine sulfate <-->,0,HMR_9382,0,1000
-1.0 O2- <-->,0,HMR_9383,0,1000
-1.0 9-O-acetylated-GD3 <-->,0,HMR_9384,0,1000
-1.0 9-O-acetylated-GT3 <-->,0,HMR_9385,0,1000
-1.0 hydroxide <-->,0,HMR_9386,0,1000
-1.0 omeprazole <-->,0,HMR_9387,0,1000
"-1.0 (1R,2S)-naphthalene 1,2-oxide <-->",0,HMR_9388,0,1000
-1.0 [protein]-L-lysine <-->,0,HMR_9389,0,1000
-1.0 perillyl alcohol <-->,0,HMR_9390,0,1000
-1.0 phenylacetylglutamine <-->,0,HMR_9391,0,1000
